ECP,beta,VPA,divida_liq_EBITDA,margem_EBITDA,LPA,ano,P_EBITDA,EV_EBITDA,DY,P_L,P_VP,P_ativos,margem_EBIT,margem_liq,P_EBIT,EV_EBIT,divida_liq_EBIT,PSR,liq_corrente,ROE,ROA,ROIC,lucros_5anos,liq_media_diaria
0.18,0.7,1.43,3.02,0.1,0.79,2020,2.86,5.87,,"19,84","10,91","0,39","8,70","1,82","4,14","7,68","3,54","0,36","1,88","54,99","1,98","11,35",,"134.530.928,97"
0.22,1.04,7.83,0.0,0.11,0.22,2020,7.19,6.93,"0,43","-265,19","1,55","0,78","1,71","-0,36","55,20","59,79","4,59","0,94","1,12","-0,58","-0,30","1,36",,"25.665.127,27"
0.0,0.92,30.23,0.0,0.0,0.01,2020,0.0,0.0,"2,25","2.191,87","1,17","1,12",,,"-3.330,33","-3.225,37","-6,94",,"2,00","0,05","0,05","-0,04",,"98.338.692,67"
0.64,1.04,7.52,2.35,0.02,1.9,2020,13.02,15.36,"2,04","13,47","2,95","0,92","1,41","2,10","20,10","23,40","3,29","0,28","1,85","21,87","6,83","1,76","14,51","180.716.927,60"
0.17,0.93,8.36,3.04,0.14,1.57,2020,3.66,6.69,,"13,62","2,55","0,37","9,56","3,63","5,17","9,56","4,39","0,49","1,19","18,71","2,69","11,11","-33,13","261.826.219,93"
0.03,1.48,4.95,5.8,0.07,-3.63,2020,5.88,11.69,"3,42","-2,35","-6,82","0,25","-3,45","-15,99","-10,89",,"-14,76","0,38","1,29","289,77","-10,76","-14,90",,"127.655.749,50"
0.03,1.09,13.28,0.97,1.58,1.58,2020,4.48,5.45,"7,87","6,81","0,78","0,48","159,17","108,24","4,63","5,70","1,07","7,37","2,72","11,51","7,05","10,48","18,24","170.254.995,63"
0.15,0.84,14.68,0.7,2.14,1.0,2020,5.31,6.01,"0,95","9,08","0,62","0,45","213,72","138,29","5,88","6,58","0,70","12,56","5,15","6,84","4,97","7,88","3,09","34.335.246,93"
0.18,1.25,10.76,0.36,0.09,-0.55,2020,68.99,69.36,,"-185,36","9,45","3,30","1,59","-4,00","466,30","468,40","2,10","7,41","2,11","-5,10","-1,78","-0,04",,"474.710.807,33"
0.35,0.38,6.08,2.78,0.07,0.65,2020,9.02,11.8,"1,85","16,38","1,75","0,82","5,53","4,44","13,16","16,93","3,77","0,73","2,17","10,65","4,98","7,47","17,95","16.496.948,13"
0.32,0.54,6.32,0.73,0.25,0.81,2020,3.51,4.24,"2,46","16,72","2,00","1,10","11,71","7,14","10,19","11,75","1,56","1,19","0,97","11,96","6,55","11,33","18,99","3.153.351,93"
